07:18:20.466565 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 2434048873, win 65535, length 0
07:18:20.476877 IP 64.202.224.76.1452 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.476884 IP 178.32.215.69.6667 > 64.202.224.76.1452: Flags [R], seq 1080872014, win 0, length 0
07:18:20.476902 IP 216.250.255.1.1807 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.476909 IP 178.32.215.69.6667 > 216.250.255.1.1807: Flags [R], seq 3388661528, win 0, length 0
07:18:20.476924 IP 202.175.82.114.1891 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.476931 IP 178.32.215.69.6667 > 202.175.82.114.1891: Flags [R], seq 850776645, win 0, length 0
07:18:20.476946 IP 193.232.173.115.1337 > 178.32.215.69.46: Flags [.], ack 1511775788, win 65535, length 0
07:18:20.476950 IP 220.164.107.170.1908 > 178.32.215.69.92: Flags [.], ack 478845032, win 65535, length 0
07:18:20.476953 IP 181.143.234.161.1731 > 178.32.215.69.2: Flags [.], ack 2114772792, win 65535, length 0
07:18:20.476955 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.476960 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.476975 IP 178.63.54.48.1642 > 178.32.215.69.66: Flags [.], ack 3250020723, win 65535, length 0
07:18:20.476980 IP 211.115.111.16.1107 > 178.32.215.69.42395: Flags [.], ack 3865999897, win 65535, length 0
07:18:20.476982 IP 64.233.128.164.2024 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.476987 IP 178.32.215.69.6667 > 64.233.128.164.2024: Flags [R], seq 2692818177, win 0, length 0
07:18:20.477002 IP 210.172.196.167.1482 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477009 IP 178.32.215.69.6667 > 210.172.196.167.1482: Flags [R], seq 3001239876, win 0, length 0
07:18:20.477034 IP 58.225.62.207.1077 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477043 IP 178.32.215.69.6667 > 58.225.62.207.1077: Flags [R], seq 3496986390, win 0, length 0
07:18:20.477071 IP 203.210.16.223.1068 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477080 IP 178.32.215.69.6667 > 203.210.16.223.1068: Flags [R], seq 3143653147, win 0, length 0
07:18:20.477095 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477102 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.477116 IP 78.47.246.116.1204 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477123 IP 178.32.215.69.6667 > 78.47.246.116.1204: Flags [R], seq 3168874352, win 0, length 0
07:18:20.477138 IP 221.11.157.1.1396 > 178.32.215.69.76: Flags [.], ack 863292485, win 65535, length 0
07:18:20.477143 IP 211.103.103.122.1380 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477148 IP 178.32.215.69.6667 > 211.103.103.122.1380: Flags [R], seq 921165920, win 0, length 0
07:18:20.477162 IP 61.143.178.244.1764 > 178.32.215.69.47857: Flags [.], ack 302901303, win 65535, length 0
07:18:20.477167 IP 211.103.103.122.1380 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477173 IP 178.32.215.69.6667 > 211.103.103.122.1380: Flags [R], seq 921165920, win 0, length 0
07:18:20.477188 IP 95.173.188.112.1772 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477195 IP 178.32.215.69.6667 > 95.173.188.112.1772: Flags [R], seq 3575486842, win 0, length 0
07:18:20.477209 IP 74.126.17.86.1578 > 178.32.215.69.8: Flags [.], ack 3157162563, win 65535, length 0
07:18:20.477214 IP 58.64.194.182.1695 > 178.32.215.69.37685: Flags [.], ack 3165904732, win 65535, length 0
07:18:20.477217 IP 202.96.188.23.2004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477222 IP 178.32.215.69.6667 > 202.96.188.23.2004: Flags [R], seq 387813420, win 0, length 0
07:18:20.477236 IP 60.191.150.193.1631 > 178.32.215.69.22193: Flags [.], ack 3065080133, win 65535, length 0
07:18:20.477241 IP 140.121.160.122.1684 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477246 IP 178.32.215.69.6667 > 140.121.160.122.1684: Flags [R], seq 81934859, win 0, length 0
07:18:20.477261 IP 69.60.116.165.1680 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477268 IP 178.32.215.69.6667 > 69.60.116.165.1680: Flags [R], seq 1825719620, win 0, length 0
07:18:20.477283 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477290 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.477311 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477318 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.477332 IP 87.229.7.251.1557 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477338 IP 178.32.215.69.6667 > 87.229.7.251.1557: Flags [R], seq 3643454792, win 0, length 0
07:18:20.477368 IP 212.52.166.157.1349 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477378 IP 178.32.215.69.6667 > 212.52.166.157.1349: Flags [R], seq 1723116814, win 0, length 0
07:18:20.477400 IP 69.60.116.165.1680 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477412 IP 178.32.215.69.6667 > 69.60.116.165.1680: Flags [R], seq 1825719620, win 0, length 0
07:18:20.477434 IP 61.156.8.67.1251 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477443 IP 178.32.215.69.6667 > 61.156.8.67.1251: Flags [R], seq 2629240630, win 0, length 0
07:18:20.477459 IP 64.233.128.98.1265 > 178.32.215.69.20521: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.477464 IP 209.73.140.56.1308 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477469 IP 178.32.215.69.6667 > 209.73.140.56.1308: Flags [R], seq 3588359206, win 0, length 0
07:18:20.477484 IP 195.146.34.200.1547 > 178.32.215.69.6667: Flags [.], ack 3349574456, win 65535, length 0
07:18:20.477492 IP 178.32.215.69.6667 > 195.146.34.200.1547: Flags [R], seq 3349574456, win 0, length 0
07:18:20.477506 IP 98.158.145.46.1830 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477513 IP 178.32.215.69.6667 > 98.158.145.46.1830: Flags [R], seq 286891887, win 0, length 0
07:18:20.477527 IP 24.246.223.146.1221 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477534 IP 178.32.215.69.6667 > 24.246.223.146.1221: Flags [R], seq 2558258251, win 0, length 0
07:18:20.477549 IP 91.186.249.24.1335 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477556 IP 178.32.215.69.6667 > 91.186.249.24.1335: Flags [R], seq 3843379829, win 0, length 0
07:18:20.477570 IP 103.28.161.95.1948 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477577 IP 178.32.215.69.6667 > 103.28.161.95.1948: Flags [R], seq 4063518274, win 0, length 0
07:18:20.477591 IP 58.150.109.106.1517 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477599 IP 178.32.215.69.6667 > 58.150.109.106.1517: Flags [R], seq 3962379358, win 0, length 0
07:18:20.477613 IP 200.52.205.60.1853 > 178.32.215.69.32577: Flags [.], ack 1005817954, win 65535, length 0
07:18:20.477618 IP 211.144.73.154.1540 > 178.32.215.69.7423: Flags [.], ack 3008316221, win 65535, length 0
07:18:20.477620 IP 208.85.242.77.1784 > 178.32.215.69.6667: Flags [.], ack 813727539, win 65535, length 0
07:18:20.477626 IP 178.32.215.69.6667 > 208.85.242.77.1784: Flags [R], seq 813727539, win 0, length 0
07:18:20.477648 IP 80.241.223.36.1551 > 178.32.215.69.6667: Flags [.], ack 1728500283, win 65535, length 0
07:18:20.477655 IP 178.32.215.69.6667 > 80.241.223.36.1551: Flags [R], seq 1728500283, win 0, length 0
07:18:20.477687 IP 103.17.9.215.1577 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477695 IP 178.32.215.69.6667 > 103.17.9.215.1577: Flags [R], seq 1072317021, win 0, length 0
07:18:20.477710 IP 203.196.130.4.1109 > 178.32.215.69.16331: Flags [.], ack 755672953, win 65535, length 0
07:18:20.477714 IP 77.247.177.33.1430 > 178.32.215.69.19653: Flags [.], ack 1194472311, win 65535, length 0
07:18:20.477716 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477722 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.477736 IP 193.0.61.16.1394 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477744 IP 178.32.215.69.6667 > 193.0.61.16.1394: Flags [R], seq 3299715353, win 0, length 0
07:18:20.477759 IP 202.21.112.123.1464 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477770 IP 178.32.215.69.6667 > 202.21.112.123.1464: Flags [R], seq 1386099064, win 0, length 0
07:18:20.477785 IP 202.21.112.123.1464 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477792 IP 178.32.215.69.6667 > 202.21.112.123.1464: Flags [R], seq 1386099064, win 0, length 0
07:18:20.477807 IP 69.72.227.45.1708 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477814 IP 178.32.215.69.6667 > 69.72.227.45.1708: Flags [R], seq 3013062144, win 0, length 0
07:18:20.477828 IP 209.73.140.56.1308 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477835 IP 178.32.215.69.6667 > 209.73.140.56.1308: Flags [R], seq 3588359206, win 0, length 0
07:18:20.477849 IP 98.158.145.46.1830 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477856 IP 178.32.215.69.6667 > 98.158.145.46.1830: Flags [R], seq 286891887, win 0, length 0
07:18:20.477871 IP 128.123.211.155.1463 > 178.32.215.69.21211: Flags [.], ack 2450919705, win 65535, length 0
07:18:20.477875 IP 66.148.121.243.1589 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477880 IP 178.32.215.69.6667 > 66.148.121.243.1589: Flags [R], seq 1949265522, win 0, length 0
07:18:20.477895 IP 61.158.203.14.1583 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477902 IP 178.32.215.69.6667 > 61.158.203.14.1583: Flags [R], seq 1498594371, win 0, length 0
07:18:20.477916 IP 177.54.11.246.1242 > 178.32.215.69.52437: Flags [.], ack 330000191, win 65535, length 0
07:18:20.477921 IP 178.63.54.48.1642 > 178.32.215.69.122: Flags [.], ack 3250020723, win 65535, length 0
07:18:20.477946 IP 213.248.46.28.1141 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477953 IP 178.32.215.69.6667 > 213.248.46.28.1141: Flags [R], seq 3509716502, win 0, length 0
07:18:20.477970 IP 41.0.44.219.1990 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.477978 IP 178.32.215.69.6667 > 41.0.44.219.1990: Flags [R], seq 2420736113, win 0, length 0
07:18:20.477993 IP 178.63.54.48.1642 > 178.32.215.69.28: Flags [.], ack 1, win 65535, length 0
07:18:20.477998 IP 220.164.107.170.1908 > 178.32.215.69.66: Flags [.], ack 478845032, win 65535, length 0
07:18:20.478000 IP 202.62.74.5.1591 > 178.32.215.69.6667: Flags [.], ack 3245732222, win 65535, length 0
07:18:20.478005 IP 178.32.215.69.6667 > 202.62.74.5.1591: Flags [R], seq 3245732222, win 0, length 0
07:18:20.478023 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478033 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.478050 IP 195.146.34.200.1547 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478058 IP 178.32.215.69.6667 > 195.146.34.200.1547: Flags [R], seq 3349574456, win 0, length 0
07:18:20.478072 IP 202.96.188.23.2004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478079 IP 178.32.215.69.6667 > 202.96.188.23.2004: Flags [R], seq 387813420, win 0, length 0
07:18:20.478094 IP 61.143.178.244.1764 > 178.32.215.69.48893: Flags [.], ack 302901303, win 65535, length 0
07:18:20.478099 IP 80.252.104.30.1322 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478104 IP 178.32.215.69.6667 > 80.252.104.30.1322: Flags [R], seq 1170383433, win 0, length 0
07:18:20.478119 IP 202.21.112.123.1464 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478126 IP 178.32.215.69.6667 > 202.21.112.123.1464: Flags [R], seq 1386099064, win 0, length 0
07:18:20.478145 IP 202.21.112.123.1464 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478153 IP 178.32.215.69.6667 > 202.21.112.123.1464: Flags [R], seq 1386099064, win 0, length 0
07:18:20.478169 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478177 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.478191 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478198 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.478213 IP 181.143.234.161.1731 > 178.32.215.69.104: Flags [.], ack 2114772792, win 65535, length 0
07:18:20.478217 IP 80.86.106.254.1554 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478223 IP 178.32.215.69.6667 > 80.86.106.254.1554: Flags [R], seq 3401524832, win 0, length 0
07:18:20.478244 IP 132.160.21.137.1288 > 178.32.215.69.86: Flags [.], ack 2326601067, win 65535, length 0
07:18:20.478249 IP 91.210.106.222.1173 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478254 IP 178.32.215.69.6667 > 91.210.106.222.1173: Flags [R], seq 1395616066, win 0, length 0
07:18:20.478300 IP 219.147.255.123.1437 > 178.32.215.69.51213: Flags [.], ack 2525585698, win 65535, length 0
07:18:20.478305 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478310 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.478325 IP 208.100.52.75.1032 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478333 IP 178.32.215.69.6667 > 208.100.52.75.1032: Flags [R], seq 4042048297, win 0, length 0
07:18:20.478347 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478354 IP 178.32.215.69.6667 > 209.73.140.70.1801: Flags [R], seq 2434048873, win 0, length 0
07:18:20.478368 IP 177.54.11.246.1242 > 178.32.215.69.52111: Flags [.], ack 330000191, win 65535, length 0
07:18:20.478374 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478379 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.478408 IP 190.2.43.2.1008 > 178.32.215.69.92: Flags [.], ack 1469576974, win 65535, length 0
07:18:20.478416 IP 95.211.117.112.1659 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478426 IP 178.32.215.69.6667 > 95.211.117.112.1659: Flags [R], seq 2697056376, win 0, length 0
07:18:20.478449 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478457 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.478473 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478481 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.478495 IP 69.60.116.165.1680 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478502 IP 178.32.215.69.6667 > 69.60.116.165.1680: Flags [R], seq 1825719620, win 0, length 0
07:18:20.478517 IP 218.1.73.246.1556 > 178.32.215.69.24929: Flags [.], ack 3160196730, win 65535, length 0
07:18:20.478521 IP 203.196.130.4.1109 > 178.32.215.69.16393: Flags [.], ack 755672953, win 65535, length 0
07:18:20.478524 IP 200.52.205.60.1853 > 178.32.215.69.32621: Flags [.], ack 1005817954, win 65535, length 0
07:18:20.478534 IP 69.72.227.45.1708 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478541 IP 178.32.215.69.6667 > 69.72.227.45.1708: Flags [R], seq 3013062144, win 0, length 0
07:18:20.478572 IP 61.139.88.63.1231 > 178.32.215.69.6667: Flags [.], ack 3756270106, win 65535, length 0
07:18:20.478581 IP 178.32.215.69.6667 > 61.139.88.63.1231: Flags [R], seq 3756270106, win 0, length 0
07:18:20.478596 IP 74.52.19.235.1335 > 178.32.215.69.6667: Flags [.], ack 3186483227, win 65535, length 0
07:18:20.478603 IP 178.32.215.69.6667 > 74.52.19.235.1335: Flags [R], seq 3186483227, win 0, length 0
07:18:20.478618 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478625 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.478639 IP 61.139.88.63.1231 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478647 IP 178.32.215.69.6667 > 61.139.88.63.1231: Flags [R], seq 3756270106, win 0, length 0
07:18:20.478661 IP 211.232.13.38.1127 > 178.32.215.69.88: Flags [.], ack 3125513303, win 65535, length 0
07:18:20.478666 IP 58.225.62.207.1077 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478671 IP 178.32.215.69.6667 > 58.225.62.207.1077: Flags [R], seq 3496986390, win 0, length 0
07:18:20.478686 IP 211.151.228.18.1362 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478693 IP 178.32.215.69.6667 > 211.151.228.18.1362: Flags [R], seq 1626857485, win 0, length 0
07:18:20.478708 IP 211.151.228.18.1362 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478715 IP 178.32.215.69.6667 > 211.151.228.18.1362: Flags [R], seq 1626857485, win 0, length 0
07:18:20.478729 IP 220.181.130.183.1413 > 178.32.215.69.25265: Flags [.], ack 3773248598, win 65535, length 0
07:18:20.478734 IP 203.160.57.118.1569 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478738 IP 178.32.215.69.6667 > 203.160.57.118.1569: Flags [R], seq 2191028824, win 0, length 0
07:18:20.478753 IP 202.169.46.205.1814 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478761 IP 178.32.215.69.6667 > 202.169.46.205.1814: Flags [R], seq 3779812177, win 0, length 0
07:18:20.478779 IP 211.154.142.247.1185 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478787 IP 178.32.215.69.6667 > 211.154.142.247.1185: Flags [R], seq 3833783307, win 0, length 0
07:18:20.478802 IP 218.36.53.73.1151 > 178.32.215.69.13093: Flags [.], ack 2788711949, win 65535, length 0
07:18:20.478806 IP 211.115.127.24.1613 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478812 IP 178.32.215.69.6667 > 211.115.127.24.1613: Flags [R], seq 2425864741, win 0, length 0
07:18:20.478826 IP 203.246.164.173.1103 > 178.32.215.69.32867: Flags [.], ack 3986427980, win 65535, length 0
07:18:20.478839 IP 77.247.177.33.1430 > 178.32.215.69.19707: Flags [.], ack 1194472311, win 65535, length 0
07:18:20.478843 IP 180.95.224.203.1582 > 178.32.215.69.62: Flags [.], ack 3118815505, win 65535, length 0
07:18:20.478845 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478851 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.478877 IP 181.143.234.161.1731 > 178.32.215.69.24: Flags [.], ack 2114772792, win 65535, length 0
07:18:20.478882 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478887 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.478903 IP 213.233.121.49.1601 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478911 IP 178.32.215.69.6667 > 213.233.121.49.1601: Flags [R], seq 2202301008, win 0, length 0
07:18:20.478925 IP 207.44.178.56.1105 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478932 IP 178.32.215.69.6667 > 207.44.178.56.1105: Flags [R], seq 1858671664, win 0, length 0
07:18:20.478947 IP 208.100.52.75.1032 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478954 IP 178.32.215.69.6667 > 208.100.52.75.1032: Flags [R], seq 4042048297, win 0, length 0
07:18:20.478968 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.478975 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.478990 IP 211.144.73.154.1540 > 178.32.215.69.9065: Flags [.], ack 3008316221, win 65535, length 0
07:18:20.478995 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479000 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.479014 IP 212.49.70.252.1596 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479026 IP 178.32.215.69.6667 > 212.49.70.252.1596: Flags [R], seq 738216780, win 0, length 0
07:18:20.479043 IP 212.49.70.252.1596 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479051 IP 178.32.215.69.6667 > 212.49.70.252.1596: Flags [R], seq 738216780, win 0, length 0
07:18:20.479065 IP 218.1.73.246.1556 > 178.32.215.69.24889: Flags [.], ack 3160196730, win 65535, length 0
07:18:20.479070 IP 61.158.203.14.1583 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479075 IP 178.32.215.69.6667 > 61.158.203.14.1583: Flags [R], seq 1498594371, win 0, length 0
07:18:20.479089 IP 78.47.246.116.1204 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479097 IP 178.32.215.69.6667 > 78.47.246.116.1204: Flags [R], seq 3168874352, win 0, length 0
07:18:20.479129 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479138 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.479154 IP 217.144.201.160.1662 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479161 IP 178.32.215.69.6667 > 217.144.201.160.1662: Flags [R], seq 2357414169, win 0, length 0
07:18:20.479175 IP 201.20.111.116.1414 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479183 IP 178.32.215.69.6667 > 201.20.111.116.1414: Flags [R], seq 4214860600, win 0, length 0
07:18:20.479197 IP 211.115.111.16.1107 > 178.32.215.69.43131: Flags [.], ack 3865999897, win 65535, length 0
07:18:20.479202 IP 183.136.162.29.1113 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479207 IP 178.32.215.69.6667 > 183.136.162.29.1113: Flags [R], seq 1881022725, win 0, length 0
07:18:20.479222 IP 211.144.73.154.1540 > 178.32.215.69.9089: Flags [.], ack 3008316221, win 65535, length 0
07:18:20.479226 IP 212.52.166.157.1349 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479232 IP 178.32.215.69.6667 > 212.52.166.157.1349: Flags [R], seq 1723116814, win 0, length 0
07:18:20.479247 IP 95.66.187.165.1590 > 178.32.215.69.29967: Flags [.], ack 3055723390, win 65535, length 0
07:18:20.479251 IP 190.2.43.2.1008 > 178.32.215.69.138: Flags [.], ack 1469576974, win 65535, length 0
07:18:20.479254 IP 61.55.144.151.1693 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479259 IP 178.32.215.69.6667 > 61.55.144.151.1693: Flags [R], seq 2481819155, win 0, length 0
07:18:20.479274 IP 182.163.204.137.1219 > 178.32.215.69.14: Flags [.], ack 3427209519, win 65535, length 0
07:18:20.479279 IP 72.51.39.197.1510 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479284 IP 178.32.215.69.6667 > 72.51.39.197.1510: Flags [R], seq 2719638537, win 0, length 0
07:18:20.479299 IP 84.246.226.154.1264 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479306 IP 178.32.215.69.6667 > 84.246.226.154.1264: Flags [R], seq 1126448695, win 0, length 0
07:18:20.479320 IP 178.63.54.48.1642 > 178.32.215.69.66: Flags [.], ack 1, win 65535, length 0
07:18:20.479324 IP 178.255.74.187.1547 > 178.32.215.69.128: Flags [.], ack 2717487723, win 65535, length 0
07:18:20.479327 IP 69.72.227.45.1708 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479332 IP 178.32.215.69.6667 > 69.72.227.45.1708: Flags [R], seq 3013062144, win 0, length 0
07:18:20.479353 IP 158.194.249.48.1101 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479361 IP 178.32.215.69.6667 > 158.194.249.48.1101: Flags [R], seq 4124903535, win 0, length 0
07:18:20.479391 IP 85.17.151.164.1487 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479400 IP 178.32.215.69.6667 > 85.17.151.164.1487: Flags [R], seq 2530959231, win 0, length 0
07:18:20.479421 IP 64.233.128.98.1265 > 178.32.215.69.20641: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.479429 IP 64.233.128.98.1265 > 178.32.215.69.20651: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.479434 IP 60.28.26.108.1674 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479442 IP 178.32.215.69.6667 > 60.28.26.108.1674: Flags [R], seq 1681159209, win 0, length 0
07:18:20.479463 IP 80.241.223.36.1551 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.479473 IP 178.32.215.69.6667 > 80.241.223.36.1551: Flags [R], seq 1728500283, win 0, length 0
